"pseudoid","term","sbjct_cd","catalog_nbr","class_section_cd","crse_ld","grade_cd","grade_basis_cd","grade_basis_ld","taken_unit","grade_pts","buffett_class","nba_program_id","course_descript","course_sect","term_course_sect","term_course","gr_course","race","gender","actcomp","hsgpa","efc","pared","cohort","t1sesa7scale","t1seaa7scale","t1matcamp7scale","t1sobcamp7scale","t1matlc7scale","t1valid7scale","t1apac4scale","t1apilc5scale","t1spilc5scale","t1engsac5scale","t1fcrlc5scale","t1fncrlc5scale","t1felc5scale","t1resiliency4scale","t1sob7scale","firstgen","sem1_cume_gpa","sem2_cume_gpa","sem3_cume_gpa","sem4_cume_gpa","sem5_cume_gpa","sem6_cume_gpa","sem7_cume_gpa","sem8_cume_gpa","sem1_term_attempted_credits_all","sem2_term_attempted_credits_all","sem3_term_attempted_credits_all","sem4_term_attempted_credits_all","sem5_term_attempted_credits_all","sem6_term_attempted_credits_all","sem8_term_attempted_credits_all","sem1_campus","sem2_campus","sem3_campus","sem4_campus","sem5_campus","sem6_campus","sem7_campus","sem8_campus","year1_persist","year2_persist","sem1_curr_pass_gpa_hrs","sem2_curr_pass_gpa_hrs","nvals","year1_creditsearned","act_cat","z_hsgpa","z_sem1_cume_gpa","z_year1_creditsearned"
1091,1158,"ENGL","1200","007","AUTOBIO READING AND WRITING","B+","GRD","Graded",3,9.98999977111816,"Y","BUFFETT","ENGL-1200-007","ENGL-1200-007","1158-4935","1158-4935",3.32999992370605,5,2,28,4.28999996185303,6198,"Yes, a Bachelor's (4 year) degree.",2015,,,,,,,,,,,,,,,,0,3.78500008583069,3.68899989128113,3.57100009918213,3.59699988365173,3.63000011444092,3.63499999046326,,3.70000004768372,14,15,14,18,0,1,12,"NEUNO","NEUNO","NEUNO","NEUNO","NEUNO","NEUNO",,"NEUNO",1,1,14,15,14,29,2,1.86718765097053,0.784875907953707,0.681211464573186
1374,1161,"MATH","1320","006","COLLEGE ALGEBRA","A-","GRD","Graded",3,11.0100002288818,"Y","BUFFETT","MATH-1320-006","MATH-1320-006","1161-7982","1161-7982",3.67000007629395,4,2,23,4,4012,"No. He or she never attended college.",2015,6.07692307692308,4.54503105590062,5.08035714285714,5.06260296540362,,,3.162102957,3.762561576,4.291291291,3.328305235,3.938931298,3.442270059,5,,6.847715736,1,3.83500003814697,3.66700005531311,,,,,,,12,12,,,,,,"NEUNO","NEUNO",,,,,,,0,0,12,12,13,24,1,1.13842878239505,0.867852495242676,-0.253009232834153
1391,1161,"ENGL","151","052","WRITING AND ARGUMENT","B-","GRD","Graded",3,8.01000022888184,"Y","BUFFETT","ENGL-151-052","ENGL-151-052","1161-5031","1161-5031",2.67000007629395,5,2,17,2.81820011138916,0,"No. He or she never attended college.",2015,4.10045248868778,4.91770186335404,4.42857142857143,3.99011532125206,,,3.530120482,3.577339901,2.66966967,3.225377107,3.43129771,3.11741683,4.200680272,,4.304568528,1,1.77999997138977,1.86800003051758,2.89000010490417,2.70600008964539,2.78900003433228,2.67600011825562,,1.97300004959106,9,6,12,11,7,8,9,"NEUNL","NEUNL","NEUNO","NEUNO","NEUNO","NEUNO","NEUNO","NEUNO",1,1,6,6,19,12,0,-1.83138936586781,-2.54248860547437,-2.49513890661177
1290,1158,"ENGL","1200","003","AUTOBIO READING AND WRITING","B-","GRD","Graded",3,8.01000022888184,"Y","BUFFETT","ENGL-1200-003","ENGL-1200-003","1158-4931","1158-4931",2.67000007629395,2,2,17,3.54550004005432,1035,"No. He or she never attended college.",2015,4.46968325791855,4.2888198757764,5.36607142857143,4.50411861614498,,,1.982475356,3.242364532,3.114114114,2.799467613,2.908396947,2.162426614,3.465986395,,4.553299492,1,3.13000011444092,3.15799999237061,3.04699993133545,3.0220000743866,3.00399994850159,3.06800007820129,,3.00300002098083,14,11,12,15,16,12,9,"NEUNO","NEUNO","NEUNO","NEUNO","NEUNO","NEUNO","NEUNO","NEUNO",1,1,14,8,16,22,0,-0.00371232155955888,-0.302118374690735,-0.626697511797088
1309,1161,"GEOG","155","350","ELEM PHYSICAL GEOG","B-","GRD","Graded",4,10.6800003051758,"Y","BUFFETT","GEOG-155-350","GEOG-155-350","1161-6000","1161-6000",2.67000007629395,4,1,18,3.08500003814697,6852,"No. He or she attended college but did not complete a degree.",2015,4.57828054298643,4.78260869565217,4.77232142857143,3.99011532125206,,,2.833515882,3.407881773,3.266266266,3.328305235,2.236641221,2.804305284,4.200680272,,4.822335025,1,2.11299991607666,2.41799998283386,2.5,2.20799994468689,1.70299994945526,,,,14,13,12,12,12,,,"NEUNL","NEUNL","NEUNO","NEUNO","NEUNL",,,,1,1,9,7,24,16,0,-1.16093130264026,-1.9898640988999,-1.7477623486859
1253,1161,"LLS","1010","001","INTRO CLS:SOCIAL SCIENCES","B","GRD","Graded",3,9,"Y","BUFFETT","LLS-1010-001","LLS-1010-001","1161-7651","1161-7651",3,4,1,19,3.11999988555908,0,"No. He or she attended college but did not complete a degree.",2015,,,,,,,,,,,,,,,,1,2.70700001716614,3.01500010490417,2.81200003623962,2.70700001716614,2.38000011444092,,,,13,14,16,12,9,,,"NEUNO","NEUNO","NEUNO","NEUNO","NEUNO",,,,1,1,8,11,22,19,0,-1.07297801796608,-1.00410113404893,-1.18722993024149
1314,1158,"SOC","1010","005","INTRODUCTORY SOCIOLOGY","B","GRD","Graded",3,9,"Y","BUFFETT","SOC-1010-005","SOC-1010-005","1158-11641","1158-11641",3,3,1,20,3.44320011138916,0,"No. He or she never attended college.",2015,3.80723981900452,3.95807453416149,4.09375,3.37726523887974,,,2.186199343,3.084729064,3.266266266,3.278615794,2.908396947,2.804305284,2.867346939,,4.304568528,1,3.14199995994568,3.34500002861023,3.44400000572205,3.31500005722046,3.20900011062622,3.23900008201599,,3.25300002098083,14,15,13,11,12,12,12,"NEUNO","NEUNO","NEUNO","NEUNO","NEUNO","NEUNO","NEUNO","NEUNO",1,1,14,15,24,29,1,-0.26078814940797,-0.28220423113953,0.681211464573186
1347,1158,"SPCH","100","20","Fund of Speech Comm","B+","GRD","Traditional Grades",3,9.98999977111816,"Y","BUFFETT","SPCH-100-20","SPCH-100-20","1158-12217","1158-12217",3.32999992370605,3,1,27,3.98230004310608,7382,"No. He or she never attended college.",2015,,,,,,,,,,,,,,,,1,1.86600005626678,2,2.79999995231628,3,3.05999994277954,3.05999994277954,,,16,12,16,9,9,0,,"NEUNK","NEUNO","NEUNL","NEUNL","NEUNL","NEUNL",,,1,1,15,12,23,27,2,1.09394946426885,-2.39976859837284,0.307523185610251
1170,1158,"ENGL","1200","007","AUTOBIO READING AND WRITING","B","GRD","Graded",3,9,"Y","BUFFETT","ENGL-1200-007","ENGL-1200-007","1158-4935","1158-4935",3,3,2,21,3.29999995231628,0,"No. He or she attended college but did not complete a degree.",2015,4.36651583710407,6.90217391304348,6.70535714285714,4.23228995057661,,,4,4.842364532,4.7997998,5,3.675572519,3.618395303,4.534013605,,6.172588832,1,3.38499999046326,3.34200000762939,2.98000001907349,,,,,,14,12,12,,,,,"NEUNO","NEUNO","NEUNO",,,,,,1,0,14,12,14,26,1,-0.620644699867333,0.121062418314797,0.120679046128783
1122,1161,"ENGL","151","052","WRITING AND ARGUMENT","A+","GRD","Graded",3,12,"Y","BUFFETT","ENGL-151-052","ENGL-151-052","1161-5031","1161-5031",4,3,1,29,3.75500011444092,7555,"No. He or she attended college but did not complete a degree.",2015,4.27420814479638,4.1583850931677,5.36607142857143,3.99011532125206,,,2.186199343,3.242364532,3.114114114,3.434782609,2.660305344,2.162426614,5,,4.553299492,1,4,4,3.96499991416931,3.9300000667572,3.93499994277954,3.94300007820129,,3.93400001525879,17,16,18,15,16,12,3,"NEUNL","NEUNL","NEUNL","NEUNL","NEUNL","NEUNL",,"NEUNL",1,1,17,16,19,33,2,0.522753393128466,1.14167543112806,1.42858802249906
